id,question,answer,Departement
83,What are the best practices in choosing a password?,"The following provides some tips for the management of passwords.

· use longer passwords
· do not use real words in passwords
· change your passwords periodically
· use a combination of upper and lowercase letters, as well as numbers and symbols in passwords
· use a different password for GJU accounts than for personal accounts
· for more important accounts use different, more complicated passwords or passphrases

The table below is a quick guide to relative strength of passwords.
 

4 characters (only letters and numbers)	
too short

Not Acceptable
6 characters (letters, numbers)	
Very Weak
6 characters (letters, numbers, AND symbols)	
Weak
8 characters (letters, numbers, AND symbols)	
length OK
OK
10 characters (letters, numbers, AND symbols)	
very good length
Better
12 characters (letters, numbers, AND symbols)	
Best",Information Systems and Technology Center (ISTC); Question
84,How can I recover a file from the recycle bin?,"Double click the recycle bin icon on your desktop, here you will see all of the files within your bin. Select the files you wish to recover, right click and choose restore.",Information Systems and Technology Center (ISTC); Question
85,What are the best practices in remembering multiple passwords?,"A big problem with passwords is making them ""strong"" yet memorable. A strong password is one that is hard to guess (e.g. not a dictionary word or a number), is ""complex"" by using letters, numbers and special characters, and is long to defeat brute-force attacks (where every combination of letters and numbers is tried). Users want something memorable, not something cryptic and hard to remember.
People's natural tendency is to use a word that they will remember, like a pet's name or their favourite meal. These are often proper words that are found in a dictionary and are considered weak passwords because they are easily guessed by someone who knows you.
It is recommended that instead of picking a password, pick a passPHRASE. For instance, you could use the phrase ""Winner winner, chicken dinner!"" It's easy to remember, yet is long enough and has enough special characters to make a complex password. Passphrases can be based on anything, a favourite line from a movie, or a nursery rhyme for example.
You should also use substitutions to strengthen passphrases.
If you wanted a very strong passphrase for your most important accounts, you would want to make sure any dictionary words are changed using character substitution. Take the passphrase ""Winner winner, chicken dinner!"" again for example.
You could eliminate the dictionary words by replacing one of the 'n's by a capital 'N', or replacing the consecutive nn's by the lookalike 'm': ""WinNer wimer, chickeN dimer!"" Another frequent substitution is to replace the 'i' by '1' or 'l', resulting in ""W1nNer wimer, ch1cken dimer!""
For a long passphrase, you could just make an acronym from it. Take the phrase ""If not for bad luck, I would have no luck at all."" By taking the first letter of each word and the punctuation in the phrase, you can create a password: ""Infbl,Iwhnlaa."" That's a pretty strong password, yet it's still very easy to remember.
If you use the same kind of substitutions all the time, then you begin to remember the substitutions, so each time you change a password, all you need to do is remember the phrase and apply the substitutions.
Use a common root to help retention.
Passphrases are very useful for creating strong passwords. However, even with all the great phrases available to us, you may begin to run out of memorable ones. Another approach is to use a common root for the password a few times to extend the lifetime of the passphrase. You can either change the substitutions or add some new elements.
For instance, using ""Winner winner... "" again, if you previously changed the 'i' into a '1', perhaps this time you can choose to flip letters over, making 'w' into 'm' and 'n' into 'u', giving you ""Miuuer miuuer..."" You could change the menu, and have ""Winner winner, eggplant dinner!"" Some people like to include the date, so that all they have to do is remember the root and the date they last changed their password: ""Win20ner win09ner, chick09en din25ner!"" if they changed their password Sept 25, 2009.
Combining the passphrase, substitution and common root approaches can help you to make strong, memorable passwords that have an extended lifetime, simplifying your password management task and increasing the security of your accounts.",Information Systems and Technology Center (ISTC); Question
86,I am unable to send or receive email?,"Verify that your computer is able to see the Internet and/or other computers to ensure that your computer is not encountering a connection issue, which would be causing your e-mail issue. Ensure that your Internet e-mail server or your Network e-mail server is not encountering issues by contacting either your Internet Service Provider or your Network administrator.",Information Systems and Technology Center (ISTC); Question
87,What is Windows Remote Assistance?,"Sometimes clients and the HelpDesk can work more efficiently when they are both looking at the same screen. This is easy when your computer is at the Service Counter, but when people are working in their office over the phone, communication can be more difficult. That is why using Remote Assistance can be a great help to both you and to the HelpDesk. The nice thing about Remote Assistance is this feature is already installed on all computers running Windows XP, and ready to use. It is also secure, because no one can connect to your PC without you giving them permission
After receiving a request for Remote Assistance, the HelpDesk consultant can remotely connect to your PC and view the screen directly to fix the problem. When you initiate a request for help, the Remote Assistance client securely sends an encrypted ticket to the HelpDesk consultant who is prompted to accept the invitation.
Remote Assistance uses a simple, secure process in establishing a connection between you and HelpDesk",Information Systems and Technology Center (ISTC); Question
88,I cannot receive any email attachments?,"If the e-mail box is full of other e-mail messages and/or your storage space is only a few megabytes it's possible that the attachment being sent cannot be received. Often if this problem is occurring the person sending the e-mail should get a response back from your e-mail server indicating that your mailbox is full and/or has exceeded its allocated size. Because computer viruses and other malware are best distributed through e-mail, many e-mail service providers, companies, and e-mail programs prevent certain types of file extensions from being distributed or received through e-mail. For example, Microsoft Outlook protect its users by automatically disabling certain file extension types from being received in e-mail.",Information Systems and Technology Center (ISTC); Question
89,What is Computer Science (CS)?,"Computer Science is the study of computation, automation, and information. Computer science spans theoretical disciplines (e.g., algorithms and theory of computation) to practical disciplines (including implementing a web or mobile application). When studying computer science, students will learn how to implement software applications and systems which serve people and solve real problems in human life. As witnessed during pandemic times (e.g., COVID-19), the applications and systems developed by pioneers in the information technology sector were prominent to seize the pandemic consequences on our life and work.
In computer science, students will take courses related to different fields, including programming languages, algorithms and theory, databases, software engineering, computer graphics and visualization, computer vision, artificial intelligence, computer security, networks, and computer systems.",School of Electrical and Engineering and Information Technology (SEEIT); Answer
90,What is Computer Engineering (CE)?,"Computer Engineering is the field of building computing devices, starting from the systems embedded in smart appliances, up to servers and robots. Computer Engineering is also concerned with developing the software necessary to operate these devices. Computer Engineering can be thought of as a mix of understanding the hardware, the software, and the interconnection between the two to develop the computing devices
Computer Engineering also delves into other numerous fields of study such as Networking field (the Internet for example), Cyber Security, Artificial Intelligence and Machine Learning, Computer Vision and Robotics, Embedded Systems design, to name a few.",School of Electrical and Engineering and Information Technology (SEEIT); Answer
91,What is Electrical Engineering (EE)?,"It is not surprising to say that EE has shaped the modern world. You will be completely wrong if you think that EE is limited to electricity generation and distribution. In fact, electrical engineers work at the forefront of practical technology that highly influences and integrates to modern life from electrical power generation to Internet of Things (IoT).  One immense advantage of EE is the wide spectrum of specializations that includes but not limited to

Internet of Things (IoT)
Wireless Communications
Communication Networks and Security
Fiber Optics
Biomedical
Power Electronics and Systems
Renewable Energy
Signal Processing and Data analysis
Automation Systems
Electronics",School of Electrical and Engineering and Information Technology (SEEIT); Answer
92,What's the difference between computer engineering and computer science?,"Computer Science is expected to work on the software level, developing and maintaining applications and programs, while Computer engineering is more related to the hardware aspect of building computing devices. However, these fields are often tightly interconnected.",School of Electrical and Engineering and Information Technology (SEEIT); Answer
93,How many Credit hours is the EE program?,The number of credit hours for the Bachelor’s program is 174 credit hours.,School of Electrical and Engineering and Information Technology (SEEIT); Answer
94,What is the difference between computer engineering and computer science?,"Computer Science is expected to work on the software level, developing and maintaining applications and programs, while Computer engineering is more related to the hardware aspect of building computing devices. However, these fields are often tightly interconnected.",School of Electrical and Engineering and Information Technology (SEEIT); Answer
95,How many Credit hours is the CE program?,The number of credit hours for the Bachelor’s program is 176 credit hours. The number of credit hours for the Master’s program is 33 credit hours.,School of Electrical and Engineering and Information Technology (SEEIT); Answer
96,How much is the credit hour fees for the EE students?,The fees are JD100 per credit hour for the Bachelor degree. More information regarding the fees can be found here.    https://www.gju.edu.jo/content/fees-2093,School of Electrical and Engineering and Information Technology (SEEIT); Answer
97,How many credit hours should students take to get a bachelor's degree in computer science?,The number of credit hours for the bachelor's program in computer science is 145 credit hours.,School of Electrical and Engineering and Information Technology (SEEIT); Answer
98,How much is the credit hour fees for the CS program?,The fees are JD100 per credit hour for the bachelor's degree in computer science. More information regarding the fees can be found here.   https://www.gju.edu.jo/content/fees-2093,School of Electrical and Engineering and Information Technology (SEEIT); Answer
99,How much is the credit hour fees for CE ?,The fees are JD100 per credit hour for the Bachelor degree. The fees for the Master’s Degree in Computer Engineering is JD120 per credit hour. More information regarding the fees can be found here. https://www.gju.edu.jo/content/fees-2093,School of Electrical and Engineering and Information Technology (SEEIT); Answer
100,What are the available tracks for the EE program?,"There are currently two tracks available for the bachelor program in the EE department. These tracks are:
The General Electrical Engineering Track
Internet of Things (IoT) Track
The difference between the tracks is in some courses that are specifically tailored for the respective track. The Study plans for the Bachelor degree can be found here.  https://www.gju.edu.jo/content/computer-engineering-975",School of Electrical and Engineering and Information Technology (SEEIT); Answer
101,What are the available tracks for the CE program?,"There are currently six tracks available for the bachelor program in the CE department. These tracks are:

The General Track
Artificial Intelligence and Machine Learning Track
Computer Vision and Robotics Track
The General – Dual Studies Track
Artificial Intelligence and Machine Learning – Dual Studies Track
Computer Vision and Robotics – Dual Studies Track

For the Master’s Program, there are currently three tracks available
The General Track
Artificial Intelligence Track
Cyber Physical Systems Track
The difference between the tracks is in some courses that are specifically tailored for the respective track. The Study plans for the Bachelor degree can be found here https://www.gju.edu.jo/content/computer-engineering-975 , and for the Master degree here  https://www.gju.edu.jo/content/computer-engineering-1411",School of Electrical and Engineering and Information Technology (SEEIT); Answer
102,Is the German Year obligatory for the EE students?,Yes. The German Year is obligatory. EE students usually spend their fourth or fifth year in Germany.,School of Electrical and Engineering and Information Technology (SEEIT); Answer
103,Are there any industrial certificates I can gain from the CE program?,"Some of the courses offered in the EE program prepare the students to acquire the certificates from Huawei. The material for the exam is covered in the respective courses, and students can get discounts (up to 100%, depending on the course) when applying for the industrial certificate.",School of Electrical and Engineering and Information Technology (SEEIT); Answer
104,Are there any industrial certificates I can gain from the program?,"Some of the courses offered in the EE program prepare the students to acquire the certificates from Huawei. The material for the exam is covered in the respective courses, and students can get discounts (up to 100%, depending on the course) when applying for the industrial certificates.",School of Electrical and Engineering and Information Technology (SEEIT); Answer
105,Are there any industrial certificates I can gain from the CS program?,"Some of the courses offered in the CS program prepare the students to acquire certificates from well-known industrial companies, such as Cisco, Red Hat, and Huawei. The material for the exam is covered in the respective courses, and students can get discounts (up to 100%, depending on the course) when applying for industrial certificates.",School of Electrical and Engineering and Information Technology (SEEIT); Answer
106,What is expected from the EE students during the German Year?,"The students must study for one semester in a partner university, and work for another semester as an internship in the industry. More information about the German Year can be found here. https://www.gju.edu.jo/content/about-german-year-14761",School of Electrical and Engineering and Information Technology (SEEIT); Answer
107,Is the German year obligatory for CS students?,Yes. The German year is obligatory. CS students usually spend their third or fourth year in Germany.,School of Electrical and Engineering and Information Technology (SEEIT); Answer
108,Is the German Year obligatory for CE?,Yes. The German Year is obligatory. CE students usually spend their fourth or fifth year in Germany.,School of Electrical and Engineering and Information Technology (SEEIT); Answer
109,What are the potential companies for German Year training for the EE students?,"Some of our students did their internship at well-known companies such as Mercedes-Benz, AIRBUS, Siemens, BOSCH, and many more. A list of some of the industrial partners can be found here. https://www.gju.edu.jo/content/partners-14766",School of Electrical and Engineering and Information Technology (SEEIT); Answer
110,What is expected from the students during the German year?,"A student must study for one semester in a partner university and work for another semester as an intern in the industry. While studying at a German partner university, the student must take 4 courses (equivalent to 12 credit hours). Meanwhile, a student must spend a period of six months in a company in Germany as an internship. More information about the German Year can be found here.   https://www.gju.edu.jo/content/about-german-year-14761",School of Electrical and Engineering and Information Technology (SEEIT); Answer
111,What is expected from the CE students during the German Year?,"The students must study for one semester in a partner university, and work for another semester as an internship in the industry. More information about the German Year can be found here. https://www.gju.edu.jo/content/about-german-year-14761",School of Electrical and Engineering and Information Technology (SEEIT); Answer
112,Is there a list of partner universities in Germany for the EE students?,"Yes. Some of the academic partners in Germany include well-known universities like Berlin HU, Darmstadt HS, and Bremen HS. A list of the academic partners can be found here. https://www.gju.edu.jo/content/partners-14766",School of Electrical and Engineering and Information Technology (SEEIT); Answer
113,What are the potential companies for German Year training for the CS students?,"Some of our students did their internships at well-known companies such as Mercedes-Benz, AIRBUS, Siemens, BOSCH, and many more. A list of some of the industrial partners can be found here.  https://www.gju.edu.jo/content/partners-14766",School of Electrical and Engineering and Information Technology (SEEIT); Answer
114,What are the potential companies for German Year training for CE?,"Some of our students did their internship at well-known companies such as Mercedes-Benz, AIRBUS, Siemens, BOSCH, and many more. A list of some of the industrial partners can be found here.  https://www.gju.edu.jo/content/partners-14766",School of Electrical and Engineering and Information Technology (SEEIT); Answer
115,What are the Research interests of the EE faculty?,"The faculty members in the EE department have a variety of research interests, spanning wireless communication systems, computer networks and security, Internet of Things (IoT), optical fiber communications, signal processing, machine learning. More information about the research projects of the faculty can be found here.  https://www.gju.edu.jo/content/research-and-projects-14787",School of Electrical and Engineering and Information Technology (SEEIT); Answer
116,What are the partner universities in Germany for the CS students?,"A list of the academic partners can be found here. https://www.gju.edu.jo/content/partners-14766 The list includes well-known universities such as Berlin HU, Darmstadt HS, and Bremen HS.",School of Electrical and Engineering and Information Technology (SEEIT); Answer
117,Is there a list of partner universities in Germany for CE?,"Yes. Some of the academic partners in Germany include well-known universities like Berlin HU, Darmstadt HS, and Bremen HS. A list of the academic partners can be found here.  https://www.gju.edu.jo/content/partners-14766",School of Electrical and Engineering and Information Technology (SEEIT); Answer
118,Is there an available financial assistance for the EE students?,"Different financial assistance programs are available for students to apply for. Some of these programs include Ministry of Higher Education scholarship, Student Employment, and Project grants. More details on the available financial assistance programs for undergraduate students can be found here.  https://www.gju.edu.jo/content/financial-assistance-undergraduate-students-14753",School of Electrical and Engineering and Information Technology (SEEIT); Answer
119,Should a CS student do field training in Jordan?,"In addition to the required international internship in Germany, a student must work in a company in Jordan for 160 hours (either eight hours daily for four consecutive weeks or four hours daily for eight consecutive weeks). To be eligible for field training in a local company, you must finish at least 90 credit hours in your study plan (with less than 90 credit hours, you cannot do field training based on the ministry of higher education regulations. To do field training in a company, a student must take a documented approval (by email) from the chair of the computer science department, and the student can look for a company in the information technology industry (examples of such companies are provided by int@j). Also, the student cannot do field training while enrolled in an academic semester; hence, the student has the following option for doing field training: a) between the first and second semesters, b) between the second and summer semesters, c) between the summer and first semester, or d) during the summer if the student is not enrolled in that summer semester.
Note that finishing field training in Jordan is mandatory before a student goes to Germany.",School of Electrical and Engineering and Information Technology (SEEIT); Answer
120,What are the research interests of faculty in CE ?,"The faculty members in the CE department have a variety of research interests, spanning Hardware and Software design, Computer networks and security, medical imaging and signal processing, Human-Computer Interaction, Embedded Systems, and Internet of Things. More information about the research projects of the faculty can be found here.   https://www.gju.edu.jo/content/research-and-projects-14787",School of Electrical and Engineering and Information Technology (SEEIT); Answer
121,What are the starting salaries for electrical engineers?,"The starting salaries of a Electrical Engineer can be (estimated, not necessarily accurate):

In Jordan: JD 7200 per year

In US: $70,000 per year

In Germany: € 65,000 per year",School of Electrical and Engineering and Information Technology (SEEIT); Answer
122,Why to choose the EE program at GJU?,"While the majority of public and private universities in Jordan offers a B.Sc. degree in EE, the EE program at GJU is unique. Below are few reasons:

Industry Experience: EE students at GJU are privileged with the chance to work directly with industry before graduation through local training (in Jordan), international training (in Germany), and the opportunity to conduct their graduation projects in Germany, courses that lead to industrial certificates such as HCIA- Cloud Computing and HCIA-5G-RAN. All of these combined can result in a graduate student with an effective work experience equivalent to 1-2 years.

Excellent Faculty: Our faculty includes some of the distinguished professors and researchers that are specialized in various topics in the EE field. We are proud that two professors from our department have been selected among the world's top 2% scientists by Stanford University.

Unique Lab Curriculum: We have strategically integrated our theoretical courses with labs that enable students to design, conduct experiments, analyze data and verify advanced theoretical concepts. More information about the EE laboratories can be found here[SM1] .

Friendly Learning Environment: GJU classes are distinguished with limited number of students (typically 15-30 students in the class) along with easily accessible and supportive faculty and staff members.

 [SM1]Add a link",School of Electrical and Engineering and Information Technology (SEEIT); Answer
123,What are the research interests of CS faculty?,"The faculty members in the computer science department have a variety of research interests. Their research interests include big data, systems performance, data privacy, information security, recommender systems, semantic web, social network mining, computation intelligence, data mining, bioinformatics, geospatial databases, multimedia databases, multimedia, computer vision, cloud computing, and clustering networks. More information about the research interests of the department faculty members can be found here.   https://www.gju.edu.jo/content/faculty-directory-1301",School of Electrical and Engineering and Information Technology (SEEIT); Answer
124,Is there an available financial assistance for students ?,"Yes. Different financial assistance programs are available for students to apply for. Some of these programs include Ministry of Higher Education scholarship, Student Employment, and Project grants. More details on the available financial assistance programs for undergraduate students can be found here  https://www.gju.edu.jo/content/financial-assistance-undergraduate-students-14753, And for Master’s students here. https://www.gju.edu.jo/content/financial-assistance-graduate-students-14756",School of Electrical and Engineering and Information Technology (SEEIT); Answer
125,What is the study abroad opportunities available for EE students at GJU?,"We strongly believe that study abroad experience will enable students to widen their horizons. Various Study Abroad programs are available to EE students at GJU:

German year: Each GJU student must spend one year at Germany that is divided into one teaching semester and one internship semester.

The Erasmus+ program: This program provides GJU students with the opportunity to spend one semester at one of our European partner universities.

Study Group Mobility: Providing a financial support for study groups working on transnational study projects within the network of GJU and its partner universities in Germany.

",School of Electrical and Engineering and Information Technology (SEEIT); Answer
126,Is there an available financial assistance for the CS students?,"Different financial assistance programs are available for students to apply for. These programs include the Ministry of Higher Education Scholarship, Student Employment, and Project grants. More details on the available financial assistan ce programs for undergraduate students can be found here  https://www.gju.edu.jo/content/financial-assistance-undergraduate-students-14753, And for Master's students here. https://www.gju.edu.jo/content/financial-assistance-graduate-students-14756",School of Electrical and Engineering and Information Technology (SEEIT); Answer
127,What are the potential job titles for computer engineers after graduation ?,"-General Track: Computer Architect, GPU Architect, Network Analyst, Network Architect, Network Manager, Systems Analyst, Systems Administrator, Embedded Hardware Engineer, Embedded Software Engineer, Embedded Systems Engineer, Software Architect, Software Developer, Software Engineer, Software Engineer, and Firmware Engineer.
-Artificial Intelligence and Machine Learning Track: Machine Learning Engineer, Data Scientist, Data Analyst, and Business Intelligence (BI) Developer.
-Computer Vision and Robotics Track: Computer Vision Engineer, Intelligent Automation Engineer, Robotics Technologist, Robotics Operator, Game Developer, and Image Processing Engineer.",School of Electrical and Engineering and Information Technology (SEEIT); Answer
128,What are the potential job titles for the computer science graduates ?,"-General Track: Software Developer, Web developer, Mobile Application Developer, Game Developer, Software Engineer, Full-Stack Developer, Database Administrator, Cloud Computing Engineer, Software Architect, Artificial Intelligence Engineer, Software Tester, Information Technology Specialist, Software Quality Assurance Manager, Systems Analyst, Project Manager, Network Architect, Computer Science Researcher.
 
-Data Science Track: Data scientist, Data Analyst, Artificial Intelligence Engineer, Machine Learning Engineer, Software Developer, Web developer, Software Engineer, Full-Stack Developer, Database Administrator, Cloud Computing Engineer.
 
-Cybersecurity Track: Information Security Analyst, Chief Information Security officer, Software Developer, Web developer, Software Engineer, Full-Stack Developer, Database Administrator.",School of Electrical and Engineering and Information Technology (SEEIT); Answer
129,What are the starting salaries for computer engineers?,"The starting salaries of a Computer Engineer can be (estimated, not necessarily accurate):

In Jordan: JD 7200 per year
In US: $70,000 per year
In Germany: € 65,000 per year",School of Electrical and Engineering and Information Technology (SEEIT); Answer
130,Why Choose the CS program at GJU?,"The CS program at GJU offers a variety of experiences related to the industry, such as the German Year internship, the Dual Studies tracks, courses that lead to industrial certificates, local field training, and graduation projects in collaboration with the industry. The study plan for a bachelor's degree in computer science is tailored based on the industry needs. In particular, the study plan includes multiple attractive courses as listed below.

Object-Oriented Programming

Database Management Systems

Artificial Intelligence

Theory of Algorithms

Web Technologies

Image Understanding

Data Structures

Mobile Computing

Computer Graphics

Visual Programming

Software Engineering

Information Security

Systems Programming

Compiler Construction

Computer Networks

Data Mining

Big Data

Ethical Hacking

Cryptography

Digital Forensics

Operating Systems

Also, most of the study plan courses are associated with labs that enable students to practice what they learn in class with a guidance of a teaching assistant. Moreover, GJU classrooms typically includes 20-30 students; hence establishing a friendly learning environment.",School of Electrical and Engineering and Information Technology (SEEIT); Answer
131,Why Choose the CE program at GJU?,"Due to the COVID-19 pandemic, most of the operations in the world has shifted to an online version. Thus, creating a lot of opportunities for Computer Engineers. The CE program at GJU offer a variety of experiences related to the industry, such as the German Year internship, the Dual Studies tracks, courses that lead to industrial certificates, local field training, and graduation projects in collaboration with the industry. All of these combined can result in a graduate student with an effective work experience equivalent to 2 years.",School of Electrical and Engineering and Information Technology (SEEIT); Answer
132,"As a CS student, can I do my Senior Project 2 in the German year?","The German year usually consists of two semesters. If you plan to register for Senior Project 2 in the German year, you should take it in a 3rd semester as explained below.

1-In the first semester, when you are enrolled in a German partner university, you have to register for only the elective courses.
2-In the second semester, you have to be interned in a company.
3-After finishing your internship, you should request extending your stay in Germany for a third semester to do your graduation project in a German partner university or a company in the German industry. Your request must be approved by your school, the international office at GJU, and the host university or the host company. During this semester, you must have two supervisors (primary supervisor: a mentor in the company, secondary supervisor: a faculty member from the CS department).
Note that you are not allowed to register any courses with your graduation project, nor doing internship in parallel, meaning you will have to register only graduation project during the third semester.

The attached document includes the regulations for doing the graduation project in Germany.",School of Electrical and Engineering and Information Technology (SEEIT); Answer
133,What will the relation between Company and GJU look like on working level?,"-As one of the main challenges in the set-up of Dual Study programs is the matching of the content of vocational training and academic training, partners have to join forces and collaborate to their best possibilities to achieve this goal.
-As the academic content has to be adapted regularly to the changing necessities of the companies (curricula revision), company representatives are asked to engage in related discussions and meetings, to which they are frequently invited.
-Partners have to secure that training activities do not overlap and that contact persons can be reached at times comfortable to the students.
-The cooperation between GJU and the companies is reflected in the active cooperation of both sides, also in joint committees.
-It is important that companies and universities maintain close personal contacts and have regular meetings for discussion and exchange on both program and management level. Fixed contact points are needed, low turnover of staff is desirable to avoid loss of knowledge.
-Partners should convene regularly on high level to discuss progress and challenges. These meetings should deliver proposals for decisions, and may include other stakeholders.
-The university ensures the academic capabilities of the students. The scientific level of a Dual Bachelor's degree program is comparable to the standards of a normal bachelor's degree course in the same field. Both degrees allow access to master-level studies.
-It should be agreed between companies and GJU, which topics students may deal with in their projects and what students have to deliver in their bachelor thesis.",Dual Studies (DS); Answer
134,Which are the added values GJU’s Dual Study programs offer?,"Cooperation with GJU in a Dual Study programs pays off in many respects:

-Well-established, intensified contacts to institutions conduction applied research
-Access to innovation
-Solutions to actual challenges the Company faces (Dual Study programs include study projects, in which students work independently, though supported by supervisors from the University and from the Company, on a specific question or problem which was defined by the company, presenting a solution or a scenario as a result.)
-Through GJUs intensive collaboration to more than 110 partner universities and a similar number of partner companies in Germany:
i. New contacts to German companies through the internship abroad included in the Dual program
ii. Fresh ideas and business opportunities with German companies
e) Recruitment of tailor-made graduates with well-developed competences:
i. Well-acquainted with the Company’s structures and processes from day one of employment
ii. Solid emotional ties to the Company
iii. Knowledge about workflows and processes in German internship partner companies
iv. Thinking in other, new structures
v. Intercultural knowledge, tested in real life
vi. Fluency in German and English as foreign languages
vii. Strong soft skills
viii. Personality development in an international context
ix. Direct influence on the development of the Dual curricula (also on the academic parts)
x. No costly past-graduate training / upgrading of Dual employees

Especially for SMEs, which often cannot afford to hire specialists, it should be attractive to recruit Dual graduates, as they have more generalist skills.",Dual Studies (DS); Answer
135,What is the difference to just adding more internships?,"In Dual Study Programs, the academic curriculum and the training at the company are closely connected. Students are continuously integrated in the company‘s workflow, so that they become well acquainted with processes and structures and are immediately fit to start work after graduation. Many of them are directly hired by “their” company, and the others are much demanded by other employers.

In Germany, Dual Study Programs exists since many years and have proven to be effective in providing companies with ""tailor made"" new staff and to bring graduates directly into employment, but also to enhance industry-university cooperation.",Dual Studies (DS); Answer
136,Why should we introduce Dual Study Programs in Jordan and at GJU?,"Highly qualified “brains” are Jordan’s most important resource, but their education has to fit with the needs of the Jordanian economy.

Many companies have voiced a need for more staff able to apply theoretical knowledge for managing and problem solving in the real world. They also argue that graduates should be better trained in soft skills like project management, negotiation skills, teamwork in applied and international contexts etc. Such soft skills are trained best in real life situations, i.e. in the companies and not just in the classroom.

GJU as a University following the Applied Sciences model has excellent prerequisites to carry out such an ambitious project successfully: Well established contacts to Jordanian firms (its proximity to industry, called the ""Industrial Dimension""), an innovative and entrepreneurial spirit, a proactive management and motivated academic staff on the one hand, and pronounced links to Germany on various levels and its numerous partner universities and companies in Germany (called the ""German Dimension"") on the other. It wants to further intensify its cooperation with industry, to foster innovation, increase productivity, and reduce youth unemployment. This cooperation also serves to develop new and innovative curricula, as companies are invited to participate in curriculum development and bring in their needs and perspectives. That takes place especially (but not only) in Dual Study Programs, which can only work if university and industry are working closely together.

In brief, the establishment of Dual Study Programs creates a win-win situation for companies, the GJU and students.",Dual Studies (DS); Answer
137,What will Dual Study Programs at GJU look like?,"With the establishment of Dual Study programs, Higher Education in Jordan will enter new territory. Due to the different economic and cultural situation, the introduction of Dual Study programs must take place in an adapted form. Selected partner companies and important other stakeholders were invited to join reflections about the best way to set up Dual Study programs at GJU.

Based on the findings of the related workshops and discussions, the GJU Dual Studies team is currently developing compatible and feasible proposals. It was decided to set up of dual study options (“tracks”) within existing BA courses of GJU. 

BA programs will be enriched with intensive practical phases in selected partner companies. Students will study at GJU and work at a company in intervals throughout the entire duration of the program. They will also go to Germany to spend a semester at a partner university and to do an internship at a German company.

Dual Studies @ GJU will be more than just another internship – students are supposed to take over serious tasks in the companies, bring the knowledge gained at GJU to their workplace at the company and include current challenges and research interests identified in the companies to GJU, through projects, thesis work etc.",Dual Studies (DS); Answer
138,How to decide about joining a Dual Study program of GJU?,"-Clarify your recruiting demands – which and how many highly qualified employees will you need in the coming five to ten years?
-Do you have the means to develop a concise training plan for the Dual Student(s)? This can be done in cooperation with GJU staff and external experts, but certain prerequisites must be met by your company.
-Do you have the time and staff to get involved in related committees / Boards to develop and influence the shape of the Dual program and its content?
-Are you ready to engage in a long-term partnership, with GJU as well as with one or several students, both manifested through a Company-University and a Company Student contract to define the relation (“rights and duties”) between the partners?
-… and in addition
-Liaise with other companies that also run Dual Study programs to share impressions and experiences (GJU is ready to provide contact persons in companies).",Dual Studies (DS); Answer
139,What requirements does a company have to fulfill to participate in a Dual Study program?,"-The company should be willing to provide well-guided quality training.
-It should therefore engage in a discussion with GJU how to harmonize the vocational and the academic parts of the program for the highest possible degree of employability of the student.
-There must be a company training plan (can eventually be developed with support by GJU), which presents the training content in the enterprise, in terms of time and materials / resources, and relates to the academic content.
The company has to provide a qualified supervisor / mentor for each accepted student. In addition, it has to nominate a person (Liaison Officer) in charge of maintaining continuous contact with a respective counterpart at GJU.
-The Company has to sign a “Company-University Contract on collaboration in the Dual Study program”. This contract includes duties, rights, timelines and dates of all partners. It should be as much uniform as possible for all, but leave room for flexibility, as participating companies have different needs and strategies. The Company-University Contract ensures that the students can complete their studies even if unexpected changes in -the cooperation between the company and university arise.",Dual Studies (DS); Answer
140,What are the requirements that applicants (trainee students) must meet in order to be accepted into the Dual bachelor's program?,"Applicants must meet the minimum academic requirements determined by the relevant school. Students are required to have a partner company. It is possible for students to propose a company willing to train them within the dual study program, and the company must comply with the program's regulations and sign a partnership agreement with the university. Alternatively, students may be selected by one of the partner companies in the program.",Dual Studies (DS); Answer
141,How are the applicants (student trainees) selected?,"-Students hand in their application to the program at GJU.
-Each student accepted by GJU in principal then names three of the partner companies engaged in the Dual Study program, in prioritized order, where he/she wants to undergo training in the program’s practical phases.
-The Company decides which student trainee(s) it wants to accept. It can use its own evaluation criteria for this end.
-Companies convene for final distribution of the students.
-Student must sign a training contract with the company (Company-Student contract; draft available at GJU’s Office for Industrial Links).
-… and in addition
-If you think about suitable trainees / students, do not only consider their grades, but also think about motivation and other (practical) skills.",Dual Studies (DS); Answer
142,What’s the nature of the training the company has to offer?,"-The professional scope of the training in the companies should not aim exclusively at a specific activity in the sponsoring company, but should prepare for various possible fields of employment.
-The qualification objectives of the Dual programs are clearly presented in the outline of the program and in the curriculum. They must be agreed between all cooperation partners directly involved in the implementation of the Dual program.",Dual Studies (DS); Answer
